id,airp_id,flying_height,photo_year,photo_date,photo_time,latitude,longitude,film_roll,frame_number,georef_metadata_ind,published_ind,media,photo_tag,bcgs_tile,nts_tile,scale,ground_sample_distance,operation_tag,focal_length,thumbnail_image_url,flight_log_url,camera_calibration_url,patb_georef_url,flight_line_segment_id,operation_id,film_record_id,objectid,se_anno_cad_data,area_ha,localcode_ltree,refine_method,wscode_ltree,geometry
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695111,695111,5944,1968,1968-05-09,12:30:00,54.20376,-126.053,bc5281,89,N,Y,Film - BW,bc5281_089,093l03021,093L01,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5281/bc5281_089_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5281_3.jpg,,,55752,4436,10784,19192494,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.053, 54.20376)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695112,695112,5944,1968,1968-05-09,12:30:00,54.22861,-126.0537,bc5281,90,N,Y,Film - BW,bc5281_090,093l03023,093L01,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5281/bc5281_090_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5281_3.jpg,,,55752,4436,10784,19192495,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.0537, 54.22861)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695119,695119,5944,1968,1968-05-09,12:30:00,54.4025,-126.0581,bc5281,97,N,Y,Film - BW,bc5281_097,093l05021,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5281/bc5281_097_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5281_3.jpg,,,55752,4436,10784,19192502,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.0581, 54.4025)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695276,695276,6096,1968,1968-07-24,08:33:00,54.37441,-126.1328,bc5296,187,N,Y,Film - BW,bc5296_187,093l04032,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5296/bc5296_187_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5296_3.jpg,,,55762,4436,10833,19192657,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.1328, 54.37441)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695326,695326,6096,1968,1968-07-24,09:01:00,54.46863,-126.2132,bc5296,234,N,Y,Film - BW,bc5296_234,093l04942,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5296/bc5296_234_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5296_3.jpg,,,55763,4436,10833,19192704,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.2132, 54.46863)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695327,695327,6096,1968,1968-07-24,09:01:00,54.44108,-126.2127,bc5296,235,N,Y,Film - BW,bc5296_235,093l04924,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5296/bc5296_235_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5296_3.jpg,,,55763,4436,10833,19192705,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.2127, 54.44108)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.695328,695328,6096,1968,1968-07-24,09:01:00,54.41353,-126.2122,bc5296,236,N,Y,Film - BW,bc5296_236,093l04922,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5296/bc5296_236_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5296_3.jpg,,,55763,4436,10833,19192706,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.2122, 54.41353)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.696118,696118,5944,1968,1968-07-31,09:18:00,54.49532,-126.2941,bc5300,152,N,Y,Film - BW,bc5300_152,093l04943,093L08,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5300/bc5300_152_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5300_2.jpg,,,55796,4436,10845,19193496,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.2941, 54.49532)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.696197,696197,5944,1968,1968-07-31,10:20:00,54.18049,-126.4431,bc5300,227,N,Y,Film - BW,bc5300_227,093l01844,093L01,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5300/bc5300_227_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5300_2.jpg,,,55798,4436,10845,19193571,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.4431, 54.18049)"
WHSE_IMAGERY_AND_BASE_MAPS.AIMG_PHOTO_CENTROIDS_SP.696210,696210,5944,1968,1968-07-31,10:20:00,54.51071,-126.4495,bc5300,240,N,Y,Film - BW,bc5300_240,093l05822,093L09,1:31680,,B-012-AF-68,153,https://openmaps.gov.bc.ca/thumbs/1968/bc5300/bc5300_240_thumb.jpg,https://openmaps.gov.bc.ca/thumbs/logbooks/1968/roll_pages/bc5300_2.jpg,,,55798,4436,10845,19193584,,231944.69,400.431358.585806,CUT,400.431358,"c(-126.4495, 54.51071)"
